"region","ID","n","trial","treatment","experiment","quality","vol","prob_vol","problems","dist_start","PC1_dist","PC2_songs","pb.order","cont"
"pineview","male28",1,"quiet-i-low","low","quiet","good",0,FALSE,"none",24.1039415863879,-1.91374638535808,-0.891363811623286,"low-high","quiet-low"
"pineview","male28",2,"quiet-i-high","high","quiet","good",0,FALSE,"none",31.3209195267317,-0.960845173314646,0.492504115860153,"low-high","quiet-high"
"pineview","male30",1,"quiet-o-high","high","quiet","good",0,FALSE,"none",17,-2.60536992453491,3.13865939177288,"high-low","quiet-high"
"pineview","male30",2,"quiet-o-low","low","quiet","good",0,FALSE,"none",15,-2.07591849683373,1.89895680840852,"high-low","quiet-low"
"pineview","male31",1,"noisy-l-low","low","noisy","good",0,FALSE,"speaker_moved",19.1049731745428,-1.18633459208107,-1.23807773964882,"low-high","noisy-low"
"pineview","male31",2,"noisy-l-high","high","noisy","good",0,FALSE,"speaker_moved",3.64005494464026,1.41857211979905,0.0786935322906044,"low-high","noisy-high"
"pineview","male33",1,"noisy-e-high","high","noisy","good",0,FALSE,"none",17,2.38531583740646,0.240956229925767,"high-low","noisy-high"
"pineview","male33",2,"noisy-e-low","low","noisy","good",0,FALSE,"none",21.9317121994613,1.66280797541049,1.4574293528306,"high-low","noisy-low"
"pineview","male34",1,"quiet-n-low","low","quiet","good",0,FALSE,"none",10.6301458127346,-2.29059402238886,4.23811663035149,"low-high","quiet-low"
"pineview","male34",2,"quiet-n-high","high","quiet","good",0,FALSE,"none",13.5,2.58780717341059,-0.416233028826936,"low-high","quiet-high"
"pineview","male35",1,"noisy-n-low","low","noisy","good",0,FALSE,"none",4.5,-0.636721110601413,0.79228197884829,"low-high","noisy-low"
"pineview","male35",2,"noisy-n-high","high","noisy","good",0,FALSE,"none",2.23606797749979,1.79159339884937,-0.253441216044103,"low-high","noisy-high"
"pineview","male36",1,"quiet-l-high","high","quiet","good",0,FALSE,"first_songs_loud",13.4629120178363,-0.778525994522939,-1.34299630721243,"high-low","quiet-high"
"pineview","male36",2,"quiet-l-low","low","quiet","good",0,FALSE,"first_songs_loud",4.24264068711928,1.37285245772445,-0.820178975603155,"high-low","quiet-low"
"pineview","male37",1,"noisy-g-high","high","noisy","good",0,FALSE,"far_start",35,-0.576464287463028,1.32456904348173,"high-low","noisy-high"
"pineview","male37",2,"noisy-g-low","low","noisy","good",0,FALSE,"far_start",31.4006369362152,-0.224690299603223,-0.263236871170979,"high-low","noisy-low"
"pineview","male38",1,"quiet-t-high","high","quiet","good",0,FALSE,"vague_response",20.4022057631032,-1.66326014645316,-1.74523262972635,"high-low","quiet-high"
"pineview","male38",2,"quiet-t-low","low","quiet","good",0,FALSE,"vague_response",28,-1.00452578502903,-1.44574505317612,"high-low","quiet-low"
"pineview","male39",1,"noisy-h-low","low","noisy","good",0,FALSE,"none",8.60232526704263,-1.30228742127357,1.10401603882079,"low-high","noisy-low"
"pineview","male39",2,"noisy-h-high","high","noisy","good",0,FALSE,"none",15.1327459504216,0.398579132201461,0.163064911177163,"low-high","noisy-high"
"pineview","male40",1,"quiet-f-low","low","quiet","good",0,FALSE,"vague_response",8.38152730712011,2.6281435517861,0.694592237871358,"low-high","quiet-low"
"pineview","male40",2,"quiet-f-high","high","quiet","good",0,FALSE,"vague_response",21.1187120819429,-0.664802800580711,-1.29129309307057,"low-high","quiet-high"
"pineview","male41",1,"noisy-o-high","high","noisy","good",0,FALSE,"none",32,-2.01242459320771,-0.788001816140962,"high-low","noisy-high"
"pineview","male41",2,"noisy-o-low","low","noisy","good",0,FALSE,"none",25,-2.51188078330521,0.68155028830626,"high-low","noisy-low"
"pineview","male42",1,"quiet-g-high","high","quiet","good",0,FALSE,"none",3.90512483795333,2.0798523201655,0.330243462243935,"high-low","quiet-high"
"pineview","male42",2,"quiet-g-low","low","quiet","good",0,FALSE,"none",5,2.75390750312271,0.143298454906588,"high-low","quiet-low"
"pineview","male43",1,"noisy-a-low","low","noisy","good",0,FALSE,"none",22,-0.852510163161921,-1.37663253551069,"low-high","noisy-low"
"pineview","male43",2,"noisy-a-high","high","noisy","good",0,FALSE,"none",5.85234995535981,1.02686612831945,-0.970987122372138,"low-high","noisy-high"
